tmdb_id,imdb_id,title,release_date,belongs_to_collection,runtime,budget,revenue
861,tt0100802,Total Recall,1990-06-01,False,113,10000000,261317921
196,tt0099088,Back to the Future Part III,1990-05-25,True,118,40000000,244527583
1498,tt0100758,Teenage Mutant Ninja Turtles,1990-03-30,True,93,13500000,202000000
1551,tt0099582,Flatliners,1990-08-10,False,115,26000000,61489265
169,tt0100403,Predator 2,1990-11-20,True,108,35000000,57120318
9556,tt0099365,Darkman,1990-08-24,True,96,16000000,48878502
5549,tt0100502,RoboCop 2,1990-06-22,True,117,35000000,45681173
2612,tt0100201,Mr. Destiny,1990-10-12,False,110,20000000,15379253
34086,tt0100666,Spaced Invaders,1990-04-27,False,100,3000000,15369573
19384,tt0099817,Dark Angel,1990-01-26,False,91,7000000,9229401
11309,tt0099740,Hardware,1990-09-14,False,93,1500000,5728953
23535,tt0099277,Class of 1999,1990-04-01,True,99,5200000,2459895
3072,tt0099612,Frankenstein Unbound,1990-11-02,False,82,11500000,334748
27274,tt0099611,Frankenhooker,1990-06-01,False,85,2500000,205068
192074,tt0098996,Aftershock,1990-10-05,False,91,0,0
530,tt0104361,A Grand Day Out,1990-05-18,True,23,0,0
18317,tt0103129,Truly Madly Deeply,1990-11-10,False,106,0,0
30647,tt0098962,12:01 PM,1990-01-01,False,25,0,0
545334,tt0099864,Stephen King's It,1990-11-18,False,180,0,0
218650,tt0099853,Invasion of the Space Preachers,1990-01-01,False,100,100000,0
280,tt0103064,Terminator 2: Judgment Day,1991-07-03,True,137,102000000,520000000
174,tt0102975,Star Trek VI: The Undiscovered Country,1991-12-05,True,113,27000000,96900000
1497,tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,True,88,25000000,78000000
10249,tt0102803,The Rocketeer,1991-06-21,False,108,42000000,62000000
8010,tt0102034,Highlander 2: The Quickening,1991-10-16,True,91,30000000,15556340
24331,tt0102848,Scanners II: The New Order,1991-06-28,True,104,0,14225876
10379,tt0101775,Drop Dead Fred,1991-04-19,False,103,6788000,13878334
11504,tt0103003,Suburban Commando,1991-10-04,False,88,11000000,8000000
34376,tt0102395,Mannequin Two: On the Move,1991-05-17,True,95,13000000,3752426
892,tt0101700,Delicatessen,1991-04-17,False,99,4000000,1794187
27549,tt0101412,Beastmaster 2: Through the Portal of Time,1991-06-08,True,107,6000000,869325
47620,tt0102687,Poison,1991-04-05,False,85,250000,609524
76516,tt0100129,Meet the Applegates,1991-02-01,False,90,5000000,485772
77664,tt0101343,And You Thought Your Parents Were Weird!,1991-11-15,False,92,0,402539
44192,tt0105597,Timebomb,1991-03-01,False,96,6000000,64532
16191,tt0104418,Highway to Hell,1991-11-21,False,94,9000000,26055
87733,tt0103192,Vegas in Space,1991-10-01,False,85,0,0
100414,tt0102681,Plymouth,1991-05-26,False,100,0,0
10341,tt0101458,Until the End of the World,1991-09-12,False,280,23000000,0
35648,tt0102812,Roujin Z,1991-09-14,False,79,0,0
8077,tt0103644,Alien³,1992-05-22,True,114,50000000,159773545
10326,tt0104291,Forever Young,1992-12-16,False,102,0,128000000
11158,tt0104437,Honey I Blew Up the Kid,1992-07-16,True,89,40000000,58662452
13225,tt0104254,FernGully: The Last Rainforest,1992-04-10,True,76,0,32710894
10163,tt0104692,The Lawnmower Man,1992-03-05,True,108,10000000,32101000
11597,tt0105629,Toys,1992-12-18,False,118,0,23278931
2687,tt0104850,Memoirs of an Invisible Man,1992-02-28,False,99,40000000,14358033
12088,tt0106950,Fortress,1992-09-30,True,95,8000000,6739141
24230,tt0107668,Nemesis,1992-12-26,True,94,0,2001124
13006,tt0105459,Split Second,1992-05-01,False,90,7,5
201685,tt0244218,Solarman,1992-10-23,False,22,0,0
37420,tt0104362,Timescape,1992-05-09,False,99,0,0
3042,tt0106959,Frankenstein,1992-12-29,False,117,0,0
54785,tt0096903,Beethoven Lives Upstairs,1992-09-30,False,51,0,0
39465,tt0104352,Godzilla vs. Mothra,1992-12-12,True,102,0,0
47628,tt0105632,Trancers 3: Deth Lives,1992-10-14,True,75,0,0
1877,tt0104115,Doctor Mordrid,1992-11-02,False,72,2000000,0
9349,tt0105698,Universal Soldier,1992-07-10,True,102,23000000,0
17991,tt0105569,Tetsuo II: Body Hammer,1992-01-01,True,83,0,0
45779,tt0100152,Mindwarp,1992-05-25,False,91,1000000,0
329,tt0107290,Jurassic Park,1993-06-11,True,127,63000000,920100000
9739,tt0106697,Demolition Man,1993-10-08,False,115,57000000,159055768
15613,tt0106912,Fire in the Sky,1993-03-12,False,109,19885552,19724334
6593,tt0107027,Godzilla vs. Mechagodzilla II,1993-12-11,True,108,9500000,18000000
41759,tt0107504,Man's Best Friend,1993-11-19,False,97,6000000,12974636
5550,tt0107978,RoboCop 3,1993-04-17,True,104,22000000,10696210
18890,tt0108526,We're Back! A Dinosaur's Story,1993-11-24,False,72,0,9317021
41651,tt0107009,Ghost in the Machine,1993-12-29,False,104,12000000,5086909
24126,tt0108517,Warlock: The Armageddon,1993-05-01,True,98,3000000,3902679
39283,tt0106521,Carnosaur,1993-05-21,True,83,1000000,1753979
26672,tt0112389,The Thief and the Cobbler,1993-09-23,False,72,28000000,669276
4722,tt0106452,Body Snatchers,1993-06-09,False,87,13000000,428868
28260,tt0107953,Return of the Living Dead 3,1993-10-01,True,97,2000000,54207
35610,tt0107819,Philadelphia Experiment II,1993-11-12,True,97,5000000,2970
18242,tt0108069,The Secret Adventures of Tom Thumb,1993-12-10,False,61,0,0
14572,tt0124770,Patlabor 2: The Movie,1993-08-07,True,107,0,0
288842,tt0300555,Time Machine: The Journey Back,1993-08-25,False,48,0,0
124049,tt0106478,Breakfast of Aliens,1993-01-01,False,88,0,0
85118,tt0108649,Zero Patience,1993-09-10,False,100,0,0
17803,tt0106188,12:01,1993-07-05,False,92,0,0
2164,tt0111282,Stargate,1994-10-27,True,121,55000000,196567262
193,tt0111280,Star Trek: Generations,1994-11-17,True,118,38000000,120000000
3036,tt0109836,Frankenstein,1994-11-04,False,123,45000000,112006296
8831,tt0111438,Timecop,1994-09-15,True,99,27000000,101646581
8850,tt0111143,The Shadow,1994-07-01,True,108,25000000,48063435
8011,tt0110027,Highlander: The Final Dimension,1994-11-29,True,99,26000000,36800000
10447,tt0110678,No Escape,1994-04-29,False,118,20000000,15340000
15139,tt0110763,The Pagemaster,1994-11-23,False,80,27000000,13670688
25557,tt0111003,The Puppet Masters,1994-10-21,False,109,0,8638072
14237,tt0109327,Brainscan,1994-04-22,False,96,0,4352094
2436,tt0106761,Double Dragon,1994-11-04,False,89,3500000,2341309
50767,tt0109098,American Cyborg: Steel Warrior,1994-01-07,False,94,0,447784
35614,tt0108395,A Troll in Central Park,1994-10-07,False,76,23000000,71368
21947,tt0109144,A.P.E.X.,1994-02-01,False,98,0,49601
414753,tt0803000,Greener,1994-09-17,False,11,0,0
251881,tt0111035,Running Delilah,1994-03-22,False,97,0,0
69206,tt0109274,Bionic Ever After?,1994-11-29,False,96,0,0
44117,tt0111735,Without Warning,1994-10-30,False,100,0,0
81936,tt0113325,"Honey, I Shrunk the Audience",1994-11-21,False,23,0,0
81859,tt0111345,T-Force,1994-12-08,False,95,0,0
9804,tt0114898,Waterworld,1995-07-28,False,135,175000000,264218220
6950,tt0114069,Outbreak,1995-03-10,False,127,50000000,189859560
63,tt0114746,Twelve Monkeys,1995-12-29,False,129,29500000,168840000
9482,tt0113492,Judge Dredd,1995-06-30,False,96,90000000,113493481
9348,tt0114508,Species,1995-07-07,True,108,35000000,113374103
9070,tt0113820,Mighty Morphin Power Rangers: The Movie,1995-06-30,True,92,15000000,66000000
9271,tt0114857,Virtuosity,1995-08-04,False,106,30000000,24048000
9886,tt0113481,Johnny Mnemonic,1995-05-26,False,97,25000000,19075720
281,tt0114558,Strange Days,1995-10-13,False,145,42000000,7959291
9102,tt0114367,Screamers,1995-09-08,True,108,20000000,5781885
9067,tt0114614,Tank Girl,1995-03-31,False,98,25000000,4064495
9323,tt0113568,Ghost in the Shell,1995-11-18,True,83,0,2287714
902,tt0112682,The City of Lost Children,1995-05-16,False,108,18000000,1738611
24732,tt0113264,Harrison Bergeron,1995-08-13,False,99,0,0
10840,tt0114038,On Your Mark,1995-07-15,False,7,0,0
222849,tt0114588,Suspect Device,1995-01-01,False,90,0,0
27010,tt0112519,Black Scorpion,1995-08-22,True,92,0,0
39108,tt0142243,Dragon Ball Z: Wrath of the Dragon,1995-07-15,True,51,0,0
12561,tt0113187,Godzilla vs. Destoroyah,1995-12-09,True,103,0,0
92698,tt0114193,Project: Metalbeast,1995-01-03,False,92,0,0
9294,tt0117333,Phenomenon,1996-07-05,False,123,32000000,152036382
199,tt0117731,Star Trek: First Contact,1996-11-21,True,111,46000000,150000000
9327,tt0117218,The Nutty Professor,1996-06-26,True,95,54000000,128769345
75,tt0116996,Mars Attacks!,1996-12-12,False,106,70000000,101371017
12123,tt0115857,Chain Reaction,1996-08-02,False,107,50000000,60209334
7095,tt0116669,Jack,1996-08-09,False,113,45000000,58620973
9306,tt0116654,The Island of Dr. Moreau,1996-08-23,False,96,40000000,49627779
10061,tt0116225,Escape from L.A.,1996-08-09,True,97,50000000,42277365
15691,tt0116118,Doctor Who,1996-03-31,False,89,5000000,42000000
11511,tt0116756,Kazaam,1996-07-17,False,93,20000000,18937262
8766,tt0116514,Hellraiser: Bloodline,1996-03-08,True,86,4000000,16675000
10547,tt0115571,The Arrival,1996-05-31,True,115,25000000,14063331
11867,tt0115624,Barb Wire,1996-05-02,False,98,0,3793614
11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,True,92,0,2409225
10690,tt0120199,Space Truckers,1996-03-01,False,95,25000000,1614266
73183,tt0113270,"The Haunted World of Edward D. Wood, Jr.",1996-05-01,False,112,0,0
474532,tt4369184,T2 3-D: Pre-Show,1996-04-27,False,21,0,0
435849,tt0113094,Cyberella : Forbidden Passions,1996-01-18,False,87,0,0
2460,tt0117909,Earth,1996-05-20,False,125,0,0
3065,tt0117128,Mystery Science Theater 3000: The Movie,1996-04-19,False,73,0,0
330,tt0119567,The Lost World: Jurassic Park,1997-05-23,True,129,73000000,618638999
607,tt0119654,Men in Black,1997-07-02,True,98,90000000,589390539
18,tt0119116,The Fifth Element,1997-05-07,False,126,90000000,263920180
754,tt0119094,Face/Off,1997-06-27,False,138,80000000,245676146
415,tt0118688,Batman & Robin,1997-06-20,True,125,125000000,238207122
9574,tt0119137,Flubber,1997-11-26,False,93,80000000,177977226
686,tt0118884,Contact,1997-07-11,False,150,90000000,171120329
8078,tt0118583,Alien Resurrection,1997-11-12,True,109,70000000,162000000
10357,tt0120461,Volcano,1997-04-25,False,104,90000000,122823468
563,tt0120201,Starship Troopers,1997-11-07,True,129,105000000,121214377
10003,tt0120053,The Saint,1997-04-03,False,116,68000000,118063304
10336,tt0120177,Spawn,1997-07-31,False,96,40000000,87840042
816,tt0118655,Austin Powers: International Man of Mystery,1997-05-02,True,94,16500000,67683989
9823,tt0119707,Mortal Kombat: Annihilation,1997-11-21,True,95,30000000,51376861
8413,tt0119081,Event Horizon,1997-08-15,False,96,60000000,26673242
4961,tt0119675,Mimic,1997-08-22,True,105,30000000,25480490
6499,tt0120389,Turbo: A Power Rangers Movie,1997-03-27,True,99,10000000,17979739
9922,tt0119925,The Postman,1997-12-25,False,177,80000000,17626234
782,tt0119177,Gattaca,1997-09-07,False,106,36000000,12532777
8854,tt0120207,Steel,1997-08-15,False,97,16000000,1686429
95,tt0120591,Armageddon,1998-07-01,False,151,140000000,553799566
929,tt0120685,Godzilla,1998-05-20,False,139,130000000,379014294
846,tt0120902,The X Files,1998-06-19,True,121,66000000,189198313
2157,tt0120738,Lost in Space,1998-04-03,False,130,80000000,136159423
200,tt0120844,Star Trek: Insurrection,1998-12-10,True,103,70000000,118000000
11551,tt0122718,Small Soldiers,1998-07-10,False,110,40000000,54682547
9320,tt0118661,The Avengers,1998-08-13,False,89,60000000,48585416
9276,tt0133751,The Faculty,1998-12-25,False,104,15000000,40283321
10153,tt0120184,Sphere,1998-02-13,False,134,80000000,37020277
2666,tt0118929,Dark City,1998-02-27,False,100,27000000,27200316
10216,tt0120841,Species II,1998-04-10,True,93,35000000,19165560
9424,tt0134619,Disturbing Behavior,1998-07-24,False,84,15000000,17507368
9425,tt0120157,Soldier,1998-10-23,False,99,75000000,14567883
9457,tt0118956,Deep Rising,1998-01-30,False,106,45000000,11203026
9827,tt0119891,Phantoms,1998-01-23,False,91,0,5624282
24746,tt0118736,Six-String Samurai,1998-09-18,False,91,2000000,124494
54007,tt0120478,Star Kid,1998-01-16,False,101,0,7
131947,tt0174543,Chameleon,1998-10-22,True,90,0,0
448674,tt0183981,Visions,1998-01-30,False,92,0,0
306974,tt0178747,Max Q: Emergency Landing,1998-11-19,False,91,0,0
1893,tt0120915,Star Wars: Episode I - The Phantom Menace,1999-05-19,True,136,115000000,924317558
603,tt0133093,The Matrix,1999-03-30,True,136,63000000,463517383
817,tt0145660,Austin Powers: The Spy Who Shagged Me,1999-06-08,True,95,33000000,312016858
8487,tt0120891,Wild Wild West,1999-06-29,False,106,170000000,222104681
12599,tt0210234,Pokémon: The Movie 2000,1999-07-17,True,84,30000000,163649270
926,tt0177789,Galaxy Quest,1999-12-23,False,102,45000000,90683916
8914,tt0149261,Deep Blue Sea,1999-07-28,True,105,60000000,73648228
9825,tt0139414,Lake Placid,1999-07-15,True,82,27000000,56870414
9849,tt0120764,My Favorite Martian,1999-02-11,False,94,65000000,36850101
22345,tt0118665,Baby Geniuses,1999-03-12,False,97,12000000,36450736
9824,tt0132347,Mystery Men,1999-08-06,False,121,68000000,29762011
10386,tt0129167,The Iron Giant,1999-08-06,False,86,70000000,23159305
2900,tt0138304,The Astronaut's Wife,1999-08-26,False,109,75000000,19598588
1090,tt0139809,The Thirteenth Floor,1999-04-16,False,100,16000000,18564088
7341,tt0144814,The Rage: Carrie 2,1999-03-11,True,104,21000000,17762705
10208,tt0158811,Muppets from Space,1999-07-14,True,87,24000000,16290976
10366,tt0176269,Universal Soldier: The Return,1999-08-05,True,82,45000000,10667893
10643,tt0188640,Godzilla 2000: Millennium,1999-12-11,True,107,1000000,10037390
82374,tt0238829,Alien Adventure,1999-08-20,False,37,0,8959784
1946,tt0120907,eXistenZ,1999-04-14,False,97,15000000,2856712
36657,tt0120903,X-Men,2000-07-13,True,104,75000000,296339527
9741,tt0217869,Unbreakable,2000-11-13,False,106,75000000,248118121
9383,tt0164052,Hollow Man,2000-08-04,True,112,95000000,190213455
12107,tt0144528,Nutty Professor II: The Klumps,2000-07-27,True,106,84000000,123307945
8843,tt0209958,The Cell,2000-08-17,True,107,33000000,104155843
8452,tt0216216,The 6th Day,2000-11-17,False,123,82000000,96085477
8859,tt0242423,"Dude, Where's My Car?",2000-12-15,False,83,13000000,73180723
10559,tt0186151,Frequency,2000-04-28,False,118,31000000,68106245
2067,tt0183523,Mission to Mars,2000-03-10,False,114,90000000,60874615
889,tt0158622,The Flintstones in Viva Rock Vegas,2000-04-28,True,90,83000000,59468275
2787,tt0134847,Pitch Black,2000-02-18,True,108,23000000,53187659
7450,tt0120913,Titan A.E.,2000-06-16,False,94,75000000,36754634
8870,tt0199753,Red Planet,2000-11-10,False,106,80000000,33463969
5491,tt0185183,Battlefield Earth,2000-05-10,False,118,44000000,21400000
16110,tt0205461,Thomas and the Magic Railroad,2000-07-26,False,85,0,19748009
20455,tt0259974,Digimon: The Movie,2000-03-17,True,82,5500000,16600000
12211,tt0144964,Highlander: Endgame,2000-09-01,True,87,25000000,15843608
11849,tt0190374,Dungeons & Dragons,2000-12-08,True,107,35000000,15185241
10384,tt0134983,Supernova,2000-01-14,False,91,90000000,14828081
22230,tt0208196,Happy Accidents,2000-01-25,False,110,0,688510
331,tt0163025,Jurassic Park III,2001-07-18,True,92,93000000,368780809
869,tt0133152,Planet of the Apes,2001-07-25,False,119,100000000,362211740
644,tt0212720,A.I. Artificial Intelligence,2001-06-29,False,146,100000000,235926552
1903,tt0259711,Vanilla Sky,2001-12-10,False,136,68000000,203388341
10865,tt0230011,Atlantis: The Lost Empire,2001-06-02,True,95,120000000,186053725
9397,tt0251075,Evolution,2001-06-08,False,101,80000000,98376292
9606,tt0293416,Metropolis,2001-05-26,False,108,14500000,95789342
2114,tt0173840,Final Fantasy: The Spirits Within,2001-07-02,True,106,137000000,85131830
12589,tt0268397,Jimmy Neutron: Boy Genius,2001-12-21,False,83,25000000,80936232
10796,tt0267804,The One,2001-11-02,False,87,49000000,72700000
167,tt0272152,K-PAX,2001-10-22,False,120,48000000,50315140
19405,tt0265632,Recess: School's Out,2001-01-27,True,83,10000000,44460850
12600,tt0287635,Pokémon 4Ever: Celebi - Voice of the Forest,2001-07-06,True,75,0,28023563
11470,tt0211443,Jason X,2001-07-24,True,91,11000000,16951798
10016,tt0228333,Ghosts of Mars,2001-08-24,False,98,28000000,14010832
10881,tt0267287,Avalon,2001-01-20,False,107,8000000,8826094
23685,tt0166276,Monkeybone,2001-02-23,False,93,75000000,5409517
26446,tt0242150,Xchange,2001-01-19,False,105,100000,5000000
515208,tt1174122,Bibleman: Breaking The Bonds of Disobedience,2001-01-01,True,45,0,0
509944,tt0332240,The Matwix,2001-09-10,False,3,10000000,0
1894,tt0121765,Star Wars: Episode II - Attack of the Clones,2002-05-15,True,142,120000000,649398328
608,tt0120912,Men in Black II,2002-07-03,True,88,140000000,441818803
2675,tt0286106,Signs,2002-08-02,False,106,72000000,408247917
180,tt0181689,Minority Report,2002-06-20,False,145,102000000,358372926
818,tt0295178,Austin Powers in Goldmember,2002-07-26,True,94,63000000,296655431
9334,tt0277296,The Scorpion King,2002-04-18,True,92,60000000,165333180
2135,tt0268695,The Time Machine,2002-03-04,False,96,80000000,123729176
9016,tt0133240,Treasure Planet,2002-11-26,False,95,140000000,109578115
10771,tt0290095,The Tuxedo,2002-09-27,False,98,60000000,104391623
1576,tt0120804,Resident Evil,2002-03-15,True,100,33000000,102984862
170,tt0289043,28 Days Later,2002-10-31,True,113,5000000,82719885
201,tt0253754,Star Trek: Nemesis,2002-12-13,True,117,60000000,67312826
15028,tt0157472,Clockstoppers,2002-03-17,False,94,26000000,38793283
2103,tt0307479,Solaris,2002-11-27,False,99,47000000,30002758
9296,tt0258153,S1m0ne,2002-08-23,False,117,0,19576023
13768,tt0283084,Tuck Everlasting,2002-10-11,False,90,15000000,19158074
11692,tt0180052,The Adventures of Pluto Nash,2002-08-15,False,95,100000000,7103973
7299,tt0238380,Equilibrium,2002-12-06,False,107,20000000,5359645
379561,,Futurmania,2002-09-02,False,6,0,0
140585,tt0327622,Darth Vader's Psychic Hotline,2002-04-16,False,5,0,0
604,tt0234215,The Matrix Reloaded,2003-05-15,True,138,150000000,738599701
296,tt0181852,Terminator 3: Rise of the Machines,2003-07-02,True,109,200000000,435000000
605,tt0242653,The Matrix Revolutions,2003-11-05,True,129,150000000,424988211
36658,tt0290334,X2,2003-04-24,True,133,110000000,407711549
1927,tt0286716,Hulk,2003-06-19,False,138,137000000,245360480
12279,tt0338459,Spy Kids 3-D: Game Over,2003-07-25,True,84,38000000,197011982
8698,tt0311429,The League of Extraordinary Gentlemen,2003-07-11,False,110,78000000,179265204
9480,tt0287978,Daredevil,2003-02-14,False,103,78000000,179179718
10330,tt0322330,Freaky Friday,2003-08-03,False,97,26000000,110230332
9620,tt0338337,Paycheck,2003-12-25,False,119,60000000,95427515
9341,tt0298814,The Core,2003-03-28,False,136,60000000,74208267
9562,tt0300556,Timeline,2003-11-26,False,116,80000000,43935763
6171,tt0285531,Dreamcatcher,2003-03-21,False,136,68000000,75
310333,tt0378876,Those Who Walk in Darkness,2003-08-03,False,90,0,0
245716,tt0374519,Bad Movie Police: Case #1: Galaxy Of The Dinosaurs,2003-10-14,False,71,0,0
121133,,X-Men: The Legend of Wolverine,2003-04-29,False,79,0,0
11049,tt0368667,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003-05-28,False,68,4000000,0
59711,tt0383278,Comfort and Joy,2003-12-01,False,85,0,0
24362,tt0368575,The Second Renaissance Part II,2003-06-01,False,9,0,0
24358,tt0366179,The Second Renaissance Part I,2003-02-01,False,9,0,0
435,tt0319262,The Day After Tomorrow,2004-05-26,False,124,125000000,544272402
2048,tt0343818,"I, Robot",2004-07-15,False,115,120000000,347234916
395,tt0370263,AVP: Alien vs. Predator,2004-08-12,True,101,70000000,171183863
1577,tt0318627,Resident Evil: Apocalypse,2004-09-10,True,94,45000000,129394835
36648,tt0359013,Blade: Trinity,2004-12-08,True,123,65000000,128905366
10145,tt0356618,The Forgotten,2004-09-24,False,91,42000000,117575636
2789,tt0296572,The Chronicles of Riddick,2004-06-11,True,119,105000000,115772733
9890,tt0327162,The Stepford Wives,2004-06-10,False,93,90000000,102000000
1487,tt0167190,Hellboy,2004-04-02,True,122,66000000,99318987
1954,tt0289879,The Butterfly Effect,2004-01-22,True,113,13000000,96060858
38,tt0338013,Eternal Sunshine of the Spotless Mind,2004-03-19,False,108,20000000,72258126
5137,tt0346156,Sky Captain and the World of Tomorrow,2004-09-17,False,107,70000000,57958696
11058,tt0335121,Godsend,2004-04-30,False,102,25000000,30114487
11052,tt0403703,Yu-Gi-Oh! The Movie,2004-08-13,False,90,20000000,29170410
14623,tt0167456,Thunderbirds,2004-07-23,False,95,57000000,28283637
